id,datetime,file,location,zip code,subspecies,health,pollen_carrying,caste
0,2018-08-06 14:48:00,020_011.png,"Saratoga, CA, USA",95070,Italian honey bee,healthy,False,worker
1,2018-08-21 09:00:00,032_507.png,"Des Moines, IA, USA",50315,Russian honey bee,healthy,False,worker
2,2018-08-21 09:00:00,032_612.png,"Des Moines, IA, USA",50315,Russian honey bee,healthy,False,worker
3,2018-08-17 17:50:00,030_773.png,"Alvin, TX, USA",77511,Italian honey bee,ant problems,False,worker
4,2018-08-06 13:19:00,015_1052.png,"Saratoga, CA, USA",95070,Italian honey bee,healthy,False,worker
5,2018-08-25 14:00:00,001_093.png,"Keene, NH, USA",3431,Russian honey bee,healthy,False,worker
6,2018-08-18 12:30:00,038_077.png,"Athens, Georgia, USA",30607,1 Mixed local stock 2,"Varroa, Small Hive Beetles",False,worker
7,2018-08-21 09:30:00,033_075.png,"Des Moines, IA, USA",50315,Western honey bee,healthy,False,worker
8,2018-08-21 15:56:00,040_295.png,"Athens, GA, USA",30607,Italian honey bee,"few varrao, hive beetles",False,worker
9,2018-07-02 13:57:00,003_120.png,"Saratoga, CA, USA",95070,Italian honey bee,healthy,False,worker
10,2018-08-17 17:50:00,030_361.png,"Alvin, TX, USA",77511,Italian honey bee,ant problems,False,worker
11,2018-08-21 09:00:00,032_576.png,"Des Moines, IA, USA",50315,Russian honey bee,healthy,False,worker
12,2018-08-06 19:19:00,019_879.png,"Saratoga, CA, USA",95070,Italian honey bee,healthy,False,worker
13,2018-07-02 13:57:00,003_268.png,"Saratoga, CA, USA",95070,Italian honey bee,healthy,False,worker
14,2018-08-21 15:56:00,040_091.png,"Athens, GA, USA",30607,Italian honey bee,"few varrao, hive beetles",False,worker
15,2018-08-19 12:46:00,010_692.png,"Des Moines, IA, USA",50315,Carniolan honey bee,healthy,False,worker
16,2018-08-19 12:46:00,010_792.png,"Des Moines, IA, USA",50315,Carniolan honey bee,healthy,False,worker
17,2018-07-07 12:56:00,005_505.png,"Saratoga, CA, USA",95070,Italian honey bee,healthy,False,worker
18,2018-07-07 14:35:00,007_113.png,"Saratoga, CA, USA",95070,Italian honey bee,healthy,False,worker
19,2018-08-28 09:54:00,045_019.png,"Alvin, TX, USA",77511,-1,hive being robbed,False,worker
20,2018-08-17 17:50:00,030_617.png,"Alvin, TX, USA",77511,Italian honey bee,ant problems,False,worker
21,2018-07-02 13:57:00,003_277.png,"Saratoga, CA, USA",95070,Italian honey bee,healthy,False,worker
22,2018-08-17 17:50:00,030_603.png,"Alvin, TX, USA",77511,Italian honey bee,ant problems,False,worker
23,2018-08-21 09:00:00,032_747.png,"Des Moines, IA, USA",50315,Russian honey bee,healthy,False,worker
24,2018-08-21 09:00:00,032_817.png,"Des Moines, IA, USA",50315,Russian honey bee,healthy,False,worker
25,2018-08-18 12:30:00,038_400.png,"Athens, Georgia, USA",30607,1 Mixed local stock 2,"Varroa, Small Hive Beetles",False,worker
26,2018-08-17 17:50:00,030_149.png,"Alvin, TX, USA",77511,Italian honey bee,ant problems,False,worker
27,2018-07-02 15:30:00,004_117.png,"Saratoga, CA, USA",95070,Italian honey bee,healthy,False,worker
28,2018-08-06 13:19:00,015_920.png,"Saratoga, CA, USA",95070,Italian honey bee,healthy,False,worker
29,2018-08-19 12:46:00,010_296.png,"Des Moines, IA, USA",50315,Carniolan honey bee,healthy,False,worker
30,2018-08-19 12:46:00,010_613.png,"Des Moines, IA, USA",50315,Carniolan honey bee,healthy,False,worker
31,2018-08-28 16:07:00,041_029.png,"Alvin, TX, USA",77511,-1,hive being robbed,False,worker
32,2018-08-21 15:56:00,040_337.png,"Athens, GA, USA",30607,Italian honey bee,"few varrao, hive beetles",False,worker
33,2018-08-17 17:50:00,030_012.png,"Alvin, TX, USA",77511,Italian honey bee,ant problems,False,worker
34,2018-08-06 13:21:00,017_108.png,"Saratoga, CA, USA",95070,Italian honey bee,healthy,False,worker
35,2018-08-19 12:46:00,010_575.png,"Des Moines, IA, USA",50315,Carniolan honey bee,healthy,False,worker
36,2018-08-28 16:07:00,042_037.png,"Alvin, TX, USA",77511,-1,hive being robbed,False,worker
37,2018-08-06 19:19:00,019_1190.png,"Saratoga, CA, USA",95070,Italian honey bee,healthy,True,worker
38,2018-08-17 17:50:00,030_514.png,"Alvin, TX, USA",77511,Italian honey bee,ant problems,False,worker
39,2018-08-18 12:30:00,038_284.png,"Athens, Georgia, USA",30607,1 Mixed local stock 2,"Varroa, Small Hive Beetles",False,worker
40,2018-07-02 15:30:00,004_076.png,"Saratoga, CA, USA",95070,Italian honey bee,healthy,False,worker
41,2018-08-20 11:55:00,016_010.png,"San Jose, CA, USA",95124,-1,healthy,False,worker
42,2018-08-16 08:20:00,008_233.png,"New Orleans, LA, USA",70115,VSH Italian honey bee,healthy,False,worker
43,2018-08-21 13:49:00,034_020.png,"Alvin, TX, USA",77511,VSH Italian honey bee,missing queen,False,worker
44,2018-08-21 15:56:00,040_308.png,"Athens, GA, USA",30607,Italian honey bee,"few varrao, hive beetles",False,worker
45,2018-08-21 15:56:00,040_461.png,"Athens, GA, USA",30607,Italian honey bee,"few varrao, hive beetles",False,worker
46,2018-08-21 09:00:00,032_619.png,"Des Moines, IA, USA",50315,Russian honey bee,healthy,False,worker
47,2018-07-02 13:57:00,003_123.png,"Saratoga, CA, USA",95070,Italian honey bee,healthy,False,worker
48,2018-08-16 08:20:00,008_125.png,"New Orleans, LA, USA",70115,VSH Italian honey bee,healthy,False,worker
49,2018-08-21 13:49:00,034_049.png,"Alvin, TX, USA",77511,VSH Italian honey bee,missing queen,False,worker
50,2018-08-17 17:50:00,030_362.png,"Alvin, TX, USA",77511,Italian honey bee,ant problems,False,worker
51,2018-08-06 14:48:00,020_031.png,"Saratoga, CA, USA",95070,Italian honey bee,healthy,False,worker
52,2018-08-21 09:00:00,032_741.png,"Des Moines, IA, USA",50315,Russian honey bee,healthy,False,worker
53,2018-08-19 15:46:00,046_156.png,"Des Moines, IA, USA",50315,Carniolan honey bee,healthy,False,worker
54,2018-07-02 15:30:00,004_313.png,"Saratoga, CA, USA",95070,Italian honey bee,healthy,False,worker
55,2018-08-28 16:07:00,041_043.png,"Alvin, TX, USA",77511,-1,hive being robbed,False,worker
